,en,mz
agender_flag_description,Agender Flag in Shader Form,
agender_flag_name,Agender Flag,
animated_blur_description,"Blur Shader, But Phases In And Out. Useful for Confusion Based Effects.",
animated_blur_name,Animated Blur,
animated_rainbow_description,Animated Rainbow Gradient Copied and Modified From ShaderToy Starting Shader,
animated_rainbow_name,Animated Rainbow,
animated_whirl_description,"Twists the World In A Whirlpool like Fashion, but Animated.",
animated_whirl_name,Animated Whirl,
aromantic_flag_description,Aromantic Flag in Shader Form,
aromantic_flag_name,Aromantic Flag,
asexual_flag_description,Asexual Flag in Shader Form,
asexual_flag_name,Asexual Flag,
bcs_description,"Demo Shader For Adjusting Brightness, Contrast, and Saturation",
bcs_name,"Brightness, Contrast, Saturation",
bisexual_flag_description,Bisexual Flag in Shader Form,
bisexual_flag_name,Bisexual Flag,
blur_description,Blur the World Like An Out of Focus Lens,
blur_name,Blur,
contrasted_description,"Demo Shader to Up The Contrast. With Some Modification, It Could Look Whitewashed.",
contrasted_name,Contrasted,
earthquake_description,Shake the World Like an Earthquake,
earthquake_name,Earthquake,
fabric_of_time_description,"Reminds Me Of Physics SpaceTime Illustrations, But Cooler",
fabric_of_time_name,Fabric of Time,
fisheye_description,Fisheye Effect. Adjusts Fisheye to Screen Resolution.,
fisheye_name,Fisheye,
flip_description,Flip the screen by some number of degrees.,
flip_name,Screen Flip,
genderfluid_flag_description,Genderfluid Flag in Shader Form,
genderfluid_flag_name,Genderfluid Flag,
genderqueer_flag_description,Genderqueer Flag in Shader Form,
genderqueer_flag_name,Genderqueer Flag,
grayscale_description,Shade Using A More Realistic Grayscale (For Black and White Photography Effect),
grayscale_name,Grayscale,
highlighter_description,"Reverse Chromakey. Instead of Shading the Chromkey Color, Shades everything else. Acts like Sepia Shader, but ignores a certain color.",
highlighter_name,Highlighter (The Darkener),
intersex_flag_description,Intersex Flag in Shader Form. Not Finished!!!,
intersex_flag_name,Intersex Flag,
lesbian_flag_description,Lesbian Flag in Shader Form,
lesbian_flag_name,Lesbian Flag,
lgbt_flag_description,LGBT Flag in Shader Form,
lgbt_flag_name,LGBT Pride Flag,
mirage_description,Produces a Mirage Effect. More Useful in 3D Sand Environments.,
mirage_name,Mirage,
mirror_description,Flips The World,
mirror_name,Mirror Mode,
negative_description,Inverts the Colors of the World,
negative_name,Negative,
nonbinary_flag_description,Non-binary Flag in Shader Form,
nonbinary_flag_name,Non-binary Flag,
normalize_description,Brings colors closer together. Not too dark and not too bright. Could use some work to find a center brightness.,
normalize_name,Normalize,
pansexual_flag_description,Pansexual Flag in Shader Form,
pansexual_flag_name,Pansexual Flag,
peeling_back_reality_description,Kinda Looks Like Reality Itself Is Being Pulled Backwards. Can Be Improved and Animated.,
peeling_back_reality_name,Peeling Back Reality,
pixelize_description,Makes everything look super low res and pixelated.,
pixelize_name,Pixelize,
polysexual_flag_description,Polysexual Flag in Shader Form,
polysexual_flag_name,Polysexual Flag,
sepia_description,Tone the world to a certain color. Color is adjustable using /shaderparam,
sepia_name,Sepia,
transgender_flag_description,Transgender Flag in Shader Form,
transgender_flag_name,Transgender Flag,Test
translation_authors,"[""Alex Evelyn""]","[""Alex Evelyn""]"
weird_boxy_rotation_description,"A weird, random effect produced by accident when I was trying to flip the screen.",
weird_boxy_rotation_name,Weird Boxy Rotation Shader,
whirl_description,Twists the World In A Whirlpool like Fashion.,
whirl_name,Whirl,
whirl_strong_description,Twists the World In A Whirlpool like Fashion.,
whirl_strong_name,Strong Whirl,
